วันที่,รางวัลที่ 1,2 ตัวบน,3 ตัวบน,2 ตัวล่าง,3 ตัวหน้า,3 ตัวล่าง
กรกฎาคม ก.ค. 2567,434503,03,503,89,839 975,647 778
มิถุนายน มิ.ย 2567,518504,04,504,31,016 428,426 447
มิถุนายน มิ.ย 2567,530593,93,593,42,194 364,421 734
พฤษภาคม พ.ค. 2567,205690,90,690,60,747 885,070 137
พฤษภาคม พ.ค. 2567,980116,16,116,17,104 763,634 833
เมษายน เม.ย. 2567,943598,98,598,79,727 729,154 200
เมษายน เม.ย. 2567,803481,81,481,90,122 809,559 947
มีนาคม มี.ค. 2567,997626,26,626,78,509 571,329 794
มีนาคม มี.ค. 2567,253603,03,603,79,900 975,382 703
กุมภาพันธ์ ก.พ. 2567,941395,95,395,43,056 330,375 587
กุมภาพันธ์ ก.พ. 2567,607063,63,063,09,454 943,544 591
มกราคม ม.ค. 2567,105979,79,979,61,429 931,196 635
ธันวาคม ธ.ค. 2566,625544,44,544,89,600 648,456 882
ธันวาคม ธ.ค. 2566,356757,57,757,85,058 410,584 964
ธันวาคม ธ.ค. 2566,251097,97,097,91,055 265,092 280
พฤศจิกายน พ.ย. 2566,557990,90,990,14,346 412,778 961
พฤศจิกายน พ.ย. 2566,743951,51,951,63,335 913,019 349
ตุลาคม ต.ค. 2566,931446,46,446,44,167 398,272 970
ตุลาคม ต.ค. 2566,727202,02,202,66,324 355,426 615
กันยายน ก.ย. 2566,320812,12,812,46,037 699,057 344
กันยายน ก.ย. 2566,915478,78,478,91,521 596,291 692
สิงหาคม ส.ค. 2566,471782,82,782,67,431 739,737 742
กรกฎาคม ก.ค. 2566,260453,53,453,11,268 708,387 601
กรกฎาคม ก.ค. 2566,169530,30,530,62,261 384,066 780
กรกฎาคม ก.ค. 2566,922605,05,605,16,281 867,491 947
มิถุนายน มิ.ย 2566,264872,72,872,30,519 628,202 874
มิถุนายน มิ.ย 2566,125272,72,272,09,000 681,386 971
พฤษภาคม พ.ค. 2566,132903,03,903,99,678 739,693 731
พฤษภาคม พ.ค. 2566,843019,19,019,65,500 780,187 269
เมษายน เม.ย. 2566,984906,06,906,71,670 678,551 797
เมษายน เม.ย. 2566,087907,07,907,99,111 914,290 698
มีนาคม มี.ค. 2566,025873,73,873,73,420 800,355 544
มีนาคม มี.ค. 2566,417652,52,652,55,577 919,748 984
กุมภาพันธ์ ก.พ. 2566,590417,17,417,80,195 664,377 523
กุมภาพันธ์ ก.พ. 2566,297411,11,411,92,181 789,101 664
มกราคม ม.ค. 2566,812519,19,519,47,389 443,564 849
ธันวาคม ธ.ค. 2565,157196,96,196,58,007 522,250 425
ธันวาคม ธ.ค. 2565,845093,93,093,14,411 912,593 855
ธันวาคม ธ.ค. 2565,375805,05,805,08,170 786,409 421
พฤศจิกายน พ.ย. 2565,121789,89,789,64,532 722,157 973
พฤศจิกายน พ.ย. 2565,913106,06,106,70,722 839,343 922
ตุลาคม ต.ค. 2565,613106,06,106,15,037 158,606 799
ตุลาคม ต.ค. 2565,484669,69,669,50,206 996,194 278
กันยายน ก.ย. 2565,943703,03,703,75,540 971,432 631
กันยายน ก.ย. 2565,929332,32,332,83,298 725,210 604
สิงหาคม ส.ค. 2565,331583,83,583,42,271 300,284 876
สิงหาคม ส.ค. 2565,436594,94,594,14,266 893,282 447
กรกฎาคม ก.ค. 2565,620405,05,405,53,159 834,061 279
กรกฎาคม ก.ค. 2565,981417,17,417,61,242 287,002 542
มิถุนายน มิ.ย 2565,361807,07,807,92,285 549,106 228
มิถุนายน มิ.ย 2565,319196,96,196,02,679 817,213 652
พฤษภาคม พ.ค. 2565,155012,12,012,06,247 736,236 540
พฤษภาคม พ.ค. 2565,658642,42,642,09,518 778,041 325
เมษายน เม.ย. 2565,395919,19,919,58,289 859,413 508
เมษายน เม.ย. 2565,970618,18,618,10,391 738,578 870
มีนาคม มี.ค. 2565,737867,67,867,03,349 985,788 989
มีนาคม มี.ค. 2565,061905,05,905,07,236 834,234 691
กุมภาพันธ์ ก.พ. 2565,098597,97,597,57,085 644,592 816
กุมภาพันธ์ ก.พ. 2565,944308,08,308,30,061 942,485 509
มกราคม ม.ค. 2565,880159,59,159,92,731 786,119 529
ธันวาคม ธ.ค. 2564,819068,68,068,36,591 979,419 547
ธันวาคม ธ.ค. 2564,639235,35,235,83,097 629,476 522
ธันวาคม ธ.ค. 2564,077258,58,258,82,739 740,401 485
พฤศจิกายน พ.ย. 2564,032761,61,761,57,471 648,245 844
พฤศจิกายน พ.ย. 2564,045037,37,037,95,247 458,331 755
ตุลาคม ต.ค. 2564,386372,72,372,38,602 964,295 798
ตุลาคม ต.ค. 2564,578171,71,171,83,285 361,379 449
กันยายน ก.ย. 2564,070935,35,935,90,609 817,007 379
กันยายน ก.ย. 2564,114475,75,475,79,278 302,123 458
สิงหาคม ส.ค. 2564,046750,50,750,23,421 666,160 355
สิงหาคม ส.ค. 2564,910261,61,261,69,103 307,004 785
กรกฎาคม ก.ค. 2564,556725,25,725,70,058 174,233 927
กรกฎาคม ก.ค. 2564,713517,17,517,29,073 794,414 511
มิถุนายน มิ.ย 2564,691861,61,861,17,007 054,447 668
